Month,GrossRevenue,Orders,UnitsSold,ActiveCustomers,AOV,RevenuePerCustomer,ItemsPerOrder,PrevMonthRevenue,MonthlyGrowthPct,ReturnAmount,NetRevenue,ReturnRatePct
2009-12,798619.53,1667,425237,952,479.0759028194361,838.8860609243698,255.09118176364728,,,0.0,798619.53,0.0
2010-01,621413.432,1085,390456,717,572.7312737327189,866.68540027894,359.8672811059908,798619.53,-22.18905139973223,0.0,621413.432,0.0
2010-02,538126.696,1189,381631,771,452.58763330529854,697.9593981841764,320.9680403700589,621413.432,-13.402789787138047,0.0,538126.696,0.0
2010-03,762148.531,1647,525054,1051,462.7495634486946,725.1651103710751,318.79417122040076,538126.696,41.62994266316793,0.0,762148.531,0.0
2010-04,646801.562,1435,366079,939,450.73279581881536,688.8195548455805,255.10731707317072,762148.531,-15.134447461134048,0.0,646801.562,0.0
2010-05,643835.64,1484,395447,965,433.8515094339623,667.1871917098446,266.4737196765499,646801.562,-0.4585520775226559,0.0,643835.64,0.0
2010-06,697768.48,1615,406233,1035,432.054786377709,674.1724444444444,251.5374613003096,643835.64,8.376802501955316,0.0,697768.48,0.0
2010-07,633836.06,1509,337572,925,420.03715043074885,685.2281729729731,223.70576540755468,697768.48,-9.162411578121144,0.0,633836.06,0.0
2010-08,674842.89,1402,471952,910,481.34300285306705,741.5855934065934,336.6276747503566,633836.06,6.4696271777279435,0.0,674842.89,0.0
2010-09,869727.161,1789,583378,1136,486.1526892118502,765.6048952464788,326.09167132476244,674842.89,28.87846547512709,0.0,869727.161,0.0
2010-10,1095410.27,2244,619531,1492,488.15074420677365,734.189189008043,276.0833333333333,869727.161,25.948724970312842,0.0,1095410.27,0.0
2010-11,1431086.602,2721,724287,1606,525.9414193311283,891.0875479452054,266.18412348401324,1095410.27,30.6438912609428,0.0,1431086.602,0.0
2010-12,776314.95,1551,357541,884,500.52543520309473,878.1843325791855,230.52288845905866,1431086.602,-45.75346111723293,0.0,776314.95,0.0
2011-01,670639.46,1081,386745,739,620.3880296022202,907.4958863328823,357.7659574468085,776314.95,-13.612450719904334,0.0,670639.46,0.0
2011-02,508074.96,1093,282633,757,464.84442817932296,671.169035667107,258.58462946020126,670639.46,-24.240222906060428,0.0,508074.96,0.0
2011-03,690552.36,1440,376186,973,479.55025,709.7146557040082,261.2402777777778,508074.96,35.915448381868686,0.0,690552.36,0.0
2011-04,515866.371,1235,307663,853,417.705563562753,604.7671406799531,249.11983805668015,690552.36,-25.2965595541517,0.0,515866.371,0.0
2011-05,740449.3,1668,394660,1054,443.91444844124703,702.5135673624288,236.60671462829737,515866.371,43.5350977743808,0.0,740449.3,0.0
2011-06,738233.99,1525,388141,990,484.08786229508195,745.690898989899,254.51868852459017,740449.3,-0.2991845626702627,0.0,738233.99,0.0
2011-07,688734.371,1453,399281,946,474.00851410874054,728.0490179704018,274.79766001376464,738233.99,-6.705139518162795,0.0,688734.371,0.0
2011-08,735770.22,1342,420710,933,548.2639493293591,788.6068810289389,313.49478390461996,688734.371,6.829316349016645,0.0,735770.22,0.0
2011-09,1029238.801,1819,568718,1259,565.826718526663,817.5050047656871,312.6542056074766,735770.22,39.88590092705846,0.0,1029238.801,0.0
2011-10,1104030.92,2005,619612,1361,550.6388628428928,811.1909772226304,309.03341645885286,1029238.801,7.266741102971674,0.0,1104030.92,0.0
2011-11,1453265.98,2751,746975,1660,528.2682588149763,875.4614337349398,271.5285350781534,1104030.92,31.632724561736005,0.0,1453265.98,0.0
2011-12,614695.96,816,312651,614,753.3038725490196,1001.1334853420195,383.1507352941176,1453265.98,-57.70244618263203,0.0,614695.96,0.0
